habitat,crab_params,env_params,correlation,n,p
vcb,burrow_density,bare,0.4391622491806372,20,0.05271191690729782
vcb,burrow_density,bulk_density,-0.40602401644072794,19,0.08454996827189776
vcb,burrow_density,cover_disspi,0.019773872890599446,20,0.9340542851812488
vcb,burrow_density,cover_ivafru,NA,20,NA
vcb,burrow_density,cover_junger,NA,20,NA
vcb,burrow_density,cover_spaalt,-0.4534773451715026,20,0.044626316413582945
vcb,burrow_density,cover_spapat,NA,20,NA
vcb,burrow_density,elevation,-0.04626837509901863,20,0.8464122422381872
vcb,burrow_density,height_disspi,NA,0,NA
vcb,burrow_density,height_junger,NA,0,NA
vcb,burrow_density,height_spaalt,-0.2858961717349014,20,0.22172784761303488
vcb,burrow_density,height_spapat,NA,0,NA
vcb,burrow_density,perc_moisture,0.2899605509611199,19,0.2285173565938885
vcb,burrow_density,perc_organic,0.25675831299228696,19,0.28863400599259803
vcb,burrow_density,shear_strength,-0.34771674664778324,18,0.15738983411591345
vcb,carcinus_cpue,bare,0.25941647508758475,20,0.26938128327237365
vcb,carcinus_cpue,bulk_density,0.24003534905680518,19,0.3222574708525636
vcb,carcinus_cpue,cover_disspi,-0.28857895763575675,20,0.21723044046764506
vcb,carcinus_cpue,cover_ivafru,NA,20,NA
vcb,carcinus_cpue,cover_junger,NA,20,NA
vcb,carcinus_cpue,cover_spaalt,-0.2532398923474042,20,0.281353402192998
vcb,carcinus_cpue,cover_spapat,NA,20,NA
vcb,carcinus_cpue,elevation,-0.02416744867218712,20,0.9194431959014373
vcb,carcinus_cpue,height_disspi,NA,0,NA
vcb,carcinus_cpue,height_junger,NA,0,NA
vcb,carcinus_cpue,height_spaalt,-0.061318080477965296,20,0.7973277744877345
vcb,carcinus_cpue,height_spapat,NA,0,NA
vcb,carcinus_cpue,perc_moisture,-0.2799797481664895,19,0.24566010506626923
vcb,carcinus_cpue,perc_organic,-0.3141999219952128,19,0.19017483008204472
vcb,carcinus_cpue,shear_strength,0.13884114193284045,18,0.5827054895091472
vcb,sesarma_cpue,bare,-0.40684798634236374,20,0.07503340563913752
vcb,sesarma_cpue,bulk_density,-0.0602667740471898,19,0.8063907934318322
vcb,sesarma_cpue,cover_disspi,0.26057389454795254,20,0.26717396086067535
vcb,sesarma_cpue,cover_ivafru,NA,20,NA
vcb,sesarma_cpue,cover_junger,NA,20,NA
vcb,sesarma_cpue,cover_spaalt,0.39969775811139074,20,0.08080427333290285
vcb,sesarma_cpue,cover_spapat,NA,20,NA
vcb,sesarma_cpue,elevation,-0.24197954463821741,20,0.30401400200658446
vcb,sesarma_cpue,height_disspi,NA,0,NA
vcb,sesarma_cpue,height_junger,NA,0,NA
vcb,sesarma_cpue,height_spaalt,0.16569875908412887,20,0.48507531278132454
vcb,sesarma_cpue,height_spapat,NA,0,NA
vcb,sesarma_cpue,perc_moisture,0.2212715723850134,19,0.3626227460711964
vcb,sesarma_cpue,perc_organic,0.14355477568532246,19,0.5576671048614108
vcb,sesarma_cpue,shear_strength,-0.3440580758402587,18,0.16210148423342163
vcb,uca_cpue,bare,-0.005987708622916691,20,0.9800121226667717
vcb,uca_cpue,bulk_density,-0.17717096404636729,19,0.4680761537921254
vcb,uca_cpue,cover_disspi,-0.013987724164911081,20,0.953326750575894
vcb,uca_cpue,cover_ivafru,NA,20,NA
vcb,uca_cpue,cover_junger,NA,20,NA
vcb,uca_cpue,cover_spaalt,0.005987708622916691,20,0.9800121226667717
vcb,uca_cpue,cover_spapat,NA,20,NA
vcb,uca_cpue,elevation,0.4352134509196302,20,0.05512760789071214
vcb,uca_cpue,height_disspi,NA,0,NA
vcb,uca_cpue,height_junger,NA,0,NA
vcb,uca_cpue,height_spaalt,-0.2286813615501429,20,0.332157992076207
vcb,uca_cpue,height_spapat,NA,0,NA
vcb,uca_cpue,perc_moisture,0.145801406379876,19,0.5514525584184335
vcb,uca_cpue,perc_organic,0.3293344128961944,19,0.16855823155109206
vcb,uca_cpue,shear_strength,0.3246382335385224,18,0.18871690034308042
mp,burrow_density,bare,-0.024009368445595123,20,0.919968497225137
mp,burrow_density,bulk_density,0.7379177389979712,20,2.0406239140347004e-4
mp,burrow_density,cover_disspi,0.18045735283616246,20,0.44644866371222425
mp,burrow_density,cover_ivafru,NA,20,NA
mp,burrow_density,cover_junger,NA,20,NA
mp,burrow_density,cover_spaalt,-0.3278753900647985,20,0.15816880448075255
mp,burrow_density,cover_spapat,0.14401220203411347,20,0.544684826846326
mp,burrow_density,elevation,-0.46007077655981254,20,0.04124034394130427
mp,burrow_density,height_disspi,0.03448665582529292,14,0.906828333723356
mp,burrow_density,height_junger,NA,0,NA
mp,burrow_density,height_spaalt,-0.3275603667491366,6,0.5262323746707966
mp,burrow_density,height_spapat,-0.15941278266427236,11,0.6396495162176503
mp,burrow_density,perc_moisture,-0.7721952913825892,20,6.629711137096095e-5
mp,burrow_density,perc_organic,-0.6668804393193181,20,0.001320409321541316
mp,burrow_density,shear_strength,-0.0876540023866566,20,0.7132696033810788
mp,carcinus_cpue,bare,-0.09176283451379647,20,0.7004111650437426
mp,carcinus_cpue,bulk_density,0.7467401011300193,20,1.5536443265018463e-4
mp,carcinus_cpue,cover_disspi,-0.006738594558534517,20,0.9775061249790657
mp,carcinus_cpue,cover_ivafru,NA,20,NA
mp,carcinus_cpue,cover_junger,NA,20,NA
mp,carcinus_cpue,cover_spaalt,-0.3016696545518954,20,0.19614802054487956
mp,carcinus_cpue,cover_spapat,0.307707086562239,20,0.1869032720540944
mp,carcinus_cpue,elevation,-0.4581641395905471,20,0.04219834269009248
mp,carcinus_cpue,height_disspi,-0.08998137103860517,14,0.7596728653832949
mp,carcinus_cpue,height_junger,NA,0,NA
mp,carcinus_cpue,height_spaalt,NA,6,NA
mp,carcinus_cpue,height_spapat,-0.15020168245623777,11,0.6593488859471592
mp,carcinus_cpue,perc_moisture,-0.7437324220524731,20,1.7070392098661458e-4
mp,carcinus_cpue,perc_organic,-0.6448164811636882,20,0.002144080677824345
mp,carcinus_cpue,shear_strength,-0.16035580463505425,20,0.4994544689036098
mp,sesarma_cpue,bare,-0.0984335886883304,20,0.6797027307575969
mp,sesarma_cpue,bulk_density,-0.1267950776810287,20,0.5942473113642752
mp,sesarma_cpue,cover_disspi,0.05801509032109516,20,0.8080444646961871
mp,sesarma_cpue,cover_ivafru,NA,20,NA
mp,sesarma_cpue,cover_junger,NA,20,NA
mp,sesarma_cpue,cover_spaalt,-0.15740529134697412,20,0.5074825964527596
mp,sesarma_cpue,cover_spapat,0.2940589876418773,20,0.2082311553295868
mp,sesarma_cpue,elevation,-0.026527140551191795,20,0.9116058629572175
mp,sesarma_cpue,height_disspi,0.03266166798066253,14,0.9117408446614053
mp,sesarma_cpue,height_junger,NA,0,NA
mp,sesarma_cpue,height_spaalt,NA,6,NA
mp,sesarma_cpue,height_spapat,-0.22501251374777131,11,0.5059146956762226
mp,sesarma_cpue,perc_moisture,0.04612152259223074,20,0.846894197572277
mp,sesarma_cpue,perc_organic,-0.03734648871716202,20,0.8757822255420478
mp,sesarma_cpue,shear_strength,-0.16097477470086835,20,0.4977781580556686
mp,uca_cpue,bare,0.34847530309721325,20,0.13213290103773723
mp,uca_cpue,bulk_density,-0.11902241214717592,20,0.617220301771539
mp,uca_cpue,cover_disspi,-0.22066004322060478,20,0.3498522543256488
mp,uca_cpue,cover_ivafru,NA,20,NA
mp,uca_cpue,cover_junger,NA,20,NA
mp,uca_cpue,cover_spaalt,0.42602204327220855,20,0.06107621802644858
mp,uca_cpue,cover_spapat,-0.4949285160408263,20,0.02651098720133227
mp,uca_cpue,elevation,-0.3263747585843442,20,0.16019458169380774
mp,uca_cpue,height_disspi,0.005233031047073744,14,0.9858346679518624
mp,uca_cpue,height_junger,NA,0,NA
mp,uca_cpue,height_spaalt,-0.30735690686734857,6,0.5534823770543669
mp,uca_cpue,height_spapat,-0.6539627786934923,11,0.029056557135888728
mp,uca_cpue,perc_moisture,0.1314771103659464,20,0.5805841968701959
mp,uca_cpue,perc_organic,0.1428586529541209,20,0.547945876062458
mp,uca_cpue,shear_strength,0.525963068006731,20,0.017218744283559406
iva,burrow_density,bare,0.1491168931930289,20,0.5303607982335716
iva,burrow_density,bulk_density,0.5257246931920305,20,0.01727848352262229
iva,burrow_density,cover_disspi,0.01082453626943187,20,0.9638738939602511
iva,burrow_density,cover_ivafru,-0.3703630750331606,20,0.10795942688061677
iva,burrow_density,cover_junger,-0.2822373948119015,20,0.22795895774799102
iva,burrow_density,cover_spaalt,0.14767676362351595,20,0.5343841010542827
iva,burrow_density,cover_spapat,0.1382468808537461,20,0.5610705241420244
iva,burrow_density,elevation,-0.342813785677449,20,0.13896324424721973
iva,burrow_density,height_disspi,-0.0953874457346941,10,0.7932281688463201
iva,burrow_density,height_junger,-0.8143900964658028,8,0.013843356072246848
iva,burrow_density,height_spaalt,-1,2,NaN
iva,burrow_density,height_spapat,1,2,NaN
iva,burrow_density,perc_moisture,-0.6277118061007101,20,0.003045631117904568
iva,burrow_density,perc_organic,-0.5975398251382948,20,0.0053984131578170835
iva,burrow_density,shear_strength,0.07509906283401427,19,0.7599416403016406
iva,carcinus_cpue,bare,-0.03415284351597416,20,0.8863355210543991
iva,carcinus_cpue,bulk_density,0.25930810360143636,20,0.26958854285117617
iva,carcinus_cpue,cover_disspi,0.21653007952630998,20,0.359171413986358
iva,carcinus_cpue,cover_ivafru,0.07102549752535335,20,0.7660396937428431
iva,carcinus_cpue,cover_junger,-0.0362525964636177,20,0.8793947729976312
iva,carcinus_cpue,cover_spaalt,-0.05263157894736842,20,0.825581450455932
iva,carcinus_cpue,cover_spapat,0.037647941193921626,20,0.8747871000687664
iva,carcinus_cpue,elevation,-0.2637934995523784,20,0.2610937765026802
iva,carcinus_cpue,height_disspi,0.09454557227847744,10,0.7950203886146632
iva,carcinus_cpue,height_junger,NA,8,NA
iva,carcinus_cpue,height_spaalt,NA,2,NA
iva,carcinus_cpue,height_spapat,-1,2,NaN
iva,carcinus_cpue,perc_moisture,-0.38124841071946175,20,0.0972082383755386
iva,carcinus_cpue,perc_organic,-0.31389369881163853,20,0.17773981806640649
iva,carcinus_cpue,shear_strength,-0.028624977542583984,19,0.9073943400511892
iva,sesarma_cpue,bare,NA,20,NA
iva,sesarma_cpue,bulk_density,NA,20,NA
iva,sesarma_cpue,cover_disspi,NA,20,NA
iva,sesarma_cpue,cover_ivafru,NA,20,NA
iva,sesarma_cpue,cover_junger,NA,20,NA
iva,sesarma_cpue,cover_spaalt,NA,20,NA
iva,sesarma_cpue,cover_spapat,NA,20,NA
iva,sesarma_cpue,elevation,NA,20,NA
iva,sesarma_cpue,height_disspi,NA,10,NA
iva,sesarma_cpue,height_junger,NA,8,NA
iva,sesarma_cpue,height_spaalt,NA,2,NA
iva,sesarma_cpue,height_spapat,NA,2,NA
iva,sesarma_cpue,perc_moisture,NA,20,NA
iva,sesarma_cpue,perc_organic,NA,20,NA
iva,sesarma_cpue,shear_strength,NA,19,NA
iva,uca_cpue,bare,-0.0852450773044674,20,0.7208432689681326
iva,uca_cpue,bulk_density,0.05822590902824427,20,0.8073594491059681
iva,uca_cpue,cover_disspi,0.20257251647456734,20,0.39170410093622343
iva,uca_cpue,cover_ivafru,-0.3621793214804251,20,0.11659018868874971
iva,uca_cpue,cover_junger,-0.2371982684320128,20,0.31396116731610046
iva,uca_cpue,cover_spaalt,0.22734865621837386,20,0.3350605560500073
iva,uca_cpue,cover_spapat,0.21926052893664852,20,0.35299438296447594
iva,uca_cpue,elevation,-0.48996158125843614,20,0.02830869943014247
iva,uca_cpue,height_disspi,0.4634382891109802,10,0.17733817990393508
iva,uca_cpue,height_junger,0.3181171157561887,8,0.44254992109271285
iva,uca_cpue,height_spaalt,1,2,NaN
iva,uca_cpue,height_spapat,1,2,NaN
iva,uca_cpue,perc_moisture,-0.18689630910630525,20,0.4301136756575712
iva,uca_cpue,perc_organic,-0.38617963861702537,20,0.09260415338865169
iva,uca_cpue,shear_strength,0.5516715876851923,19,0.014338345073037662
bcb,burrow_density,bare,-0.24242418125047566,20,0.3030987969172625
bcb,burrow_density,bulk_density,-0.39882785122011133,20,0.08152819444090187
bcb,burrow_density,cover_disspi,NA,20,NA
bcb,burrow_density,cover_ivafru,NA,20,NA
bcb,burrow_density,cover_junger,NA,20,NA
bcb,burrow_density,cover_spaalt,0.24879873561146953,20,0.29016227517819315
bcb,burrow_density,cover_spapat,NA,20,NA
bcb,burrow_density,elevation,0.5718798123384304,20,0.008425527926027243
bcb,burrow_density,height_disspi,NA,0,NA
bcb,burrow_density,height_junger,NA,0,NA
bcb,burrow_density,height_spaalt,-0.6209829280327169,4,0.37901707196728296
bcb,burrow_density,height_spapat,NA,0,NA
bcb,burrow_density,perc_moisture,0.28573551877262615,20,0.22199908412322977
bcb,burrow_density,perc_organic,0.5159274225451017,20,0.01988100970925033
bcb,burrow_density,shear_strength,0.17861294974564335,20,0.45118638787887355
bcb,carcinus_cpue,bare,0.17396205670584436,20,0.4632476687796738
bcb,carcinus_cpue,bulk_density,-0.19699130894410863,20,0.4051551815115304
bcb,carcinus_cpue,cover_disspi,NA,20,NA
bcb,carcinus_cpue,cover_ivafru,NA,20,NA
bcb,carcinus_cpue,cover_junger,NA,20,NA
bcb,carcinus_cpue,cover_spaalt,-0.1759783695716712,20,0.45799866766080877
bcb,carcinus_cpue,cover_spapat,NA,20,NA
bcb,carcinus_cpue,elevation,-0.28770886390870287,20,0.21868243958770983
bcb,carcinus_cpue,height_disspi,NA,0,NA
bcb,carcinus_cpue,height_junger,NA,0,NA
bcb,carcinus_cpue,height_spaalt,0.77260839783439506,4,0.22739160216560483
bcb,carcinus_cpue,height_spapat,NA,0,NA
bcb,carcinus_cpue,perc_moisture,0.10410584945358614,20,0.6622653898216435
bcb,carcinus_cpue,perc_organic,-0.12553565856870857,20,0.5979453276560736
bcb,carcinus_cpue,shear_strength,-0.25779740673593204,20,0.2724881443219509
bcb,sesarma_cpue,bare,-0.1540266797315944,20,0.5167509180441816
bcb,sesarma_cpue,bulk_density,0.4551915457756984,20,0.043726117151109634
bcb,sesarma_cpue,cover_disspi,NA,20,NA
bcb,sesarma_cpue,cover_ivafru,NA,20,NA
bcb,sesarma_cpue,cover_junger,NA,20,NA
bcb,sesarma_cpue,cover_spaalt,0.13625157755952638,20,0.5667916783663389
bcb,sesarma_cpue,cover_spapat,NA,20,NA
bcb,sesarma_cpue,elevation,0.10962558185753093,20,0.645456011450158
bcb,sesarma_cpue,height_disspi,NA,0,NA
bcb,sesarma_cpue,height_junger,NA,0,NA
bcb,sesarma_cpue,height_spaalt,0.2840141443057573,4,0.7159858556942427
bcb,sesarma_cpue,height_spapat,NA,0,NA
bcb,sesarma_cpue,perc_moisture,-0.4165561895767413,20,0.0676972197686947
bcb,sesarma_cpue,perc_organic,-0.3823798303849284,20,0.09613740593352205
bcb,sesarma_cpue,shear_strength,-0.03574210766825283,20,0.8810814373082683
bcb,uca_cpue,bare,0.06438780464838564,20,0.7873990901055106
bcb,uca_cpue,bulk_density,-0.07844916830188822,20,0.7423428527863256
bcb,uca_cpue,cover_disspi,NA,20,NA
bcb,uca_cpue,cover_ivafru,NA,20,NA
bcb,uca_cpue,cover_junger,NA,20,NA
bcb,uca_cpue,cover_spaalt,-0.05553630350845915,20,0.8161087782470893
bcb,uca_cpue,cover_spapat,NA,20,NA
bcb,uca_cpue,elevation,-0.3028994171510194,20,0.1942406157363592
bcb,uca_cpue,height_disspi,NA,0,NA
bcb,uca_cpue,height_junger,NA,0,NA
bcb,uca_cpue,height_spaalt,-0.9023499300944018,4,0.09765006990559821
bcb,uca_cpue,height_spapat,NA,0,NA
bcb,uca_cpue,perc_moisture,0.07107420058681682,20,0.7658835514506732
bcb,uca_cpue,perc_organic,-0.06072596283727359,20,0.7992464161890078
bcb,uca_cpue,shear_strength,-0.25335249406193616,20,0.2811322408449033
